,PID,PX_COH,PY_COH,NID,NX_COH,NY_COH,COHX,COHY,REPX,REPY,CHANGEX,CHANGEY,NEXTX,NEXTY
0,0,-3.2488064569999997,-0.265593834,2,-1.75362956,1.2471996490000001,0.2242765434619488,0.2269190314669518,0.0,0.0,0.2242765434619488,0.2269190314669518,-3.024529913538051,-0.03867480253304817
1,0,-3.2488064569999997,-0.265593834,5,-1.305098328,-0.712227565,0.2915562309354033,-0.06699506231214447,-0.2747010298195937,0.06312200068895599,0.5662572607549969,-0.13011706300110046,-2.6825491962450028,-0.3957108970011004
2,0,-3.2488064569999997,-0.265593834,9,-1.867094715,-2.519082666,0.2072567695356438,-0.3380233382318401,0.0,0.0,0.2072567695356438,-0.3380233382318401,-3.041549687464356,-0.6036171722318401
3,1,2.582878465,-0.217421571,3,0.150156076,0.499552648,-0.36490837285015537,0.10754613712349936,0.0,0.0,-0.36490837285015537,0.10754613712349936,2.2179700921498444,-0.10987543387650064
4,1,2.582878465,-0.217421571,4,1.984752796,-2.074944011,-0.08971885391510677,-0.2786283770716965,0.7440895233043517,2.310823725752416,-0.8338083772194586,-2.5894521028241124,1.7490700877805412,-2.8068736738241125
5,1,2.582878465,-0.217421571,6,1.717419706,1.6307586109999999,-0.12981881900853615,0.2772270383160124,0.0,0.0,-0.12981881900853615,0.2772270383160124,2.4530596459914635,0.05980546731601241
9,2,-1.75362956,1.2471996490000001,0,-3.2488064569999997,-0.265593834,-0.2242765434619488,-0.2269190314669518,0.0,0.0,-0.2242765434619488,-0.2269190314669518,-1.9779061034619487,1.0202806175330483
7,2,-1.75362956,1.2471996490000001,3,0.150156076,0.499552648,0.2855678567474467,-0.11214705460632338,0.0,0.0,0.2855678567474467,-0.11214705460632338,-1.4680617032525534,1.1350525943936767
8,2,-1.75362956,1.2471996490000001,5,-1.305098328,-0.712227565,0.06727968747345449,-0.2939140937790963,0.0,0.0,0.06727968747345449,-0.2939140937790963,-1.6863498725265456,0.9532855552209039
6,2,-1.75362956,1.2471996490000001,7,-0.13209023,2.53343183,0.2432309091651276,0.19293483481654125,0.0,0.0,0.2432309091651276,0.19293483481654125,-1.5103986508348723,1.4401344838165413
13,3,0.150156076,0.499552648,1,2.582878465,-0.217421571,0.36490837285015537,-0.10754613712349936,0.0,0.0,0.36490837285015537,-0.10754613712349936,0.5150644488501553,0.3920065108765006
10,3,0.150156076,0.499552648,2,-1.75362956,1.2471996490000001,-0.2855678567474467,0.11214705460632338,0.0,0.0,-0.2855678567474467,0.11214705460632338,-0.13541178074744672,0.6116997026063233
